sequence_regime,event_group,breakout_attempt_bucket,htf_location_bias,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,avg_range_sum_5_atr,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_edge,sell_edge,best_side,best_edge,edge_gap
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,206,54.48463509361872,0.943702847159344,5.338027044406662,0.9077669902912622,0.25728155339805825,0.9902912621359223,-0.9320388349514563,0.5970873786407767,SELL,0.5970873786407767,1.529126213592233
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,MIXED_LOCATION,FULL,UP,205,41.63916926247924,0.9117494406464259,4.654213491104584,0.9707317073170731,0.2634146341463415,1.0,0.5902439024390245,-0.9560975609756097,BUY,0.5902439024390245,1.5463414634146342
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,MIXED_LOCATION,FULL,DOWN,292,41.43437285632599,0.8915682447255284,4.600203428230674,0.9315068493150684,0.2876712328767123,0.9897260273972602,-0.9417808219178082,0.5308219178082192,SELL,0.5308219178082192,1.4726027397260273
BREAKOUT_AFTER_COMPRESSION,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,124,62.33959565734621,1.266477177310389,4.846134662477539,0.9193548387096774,0.3709677419354839,1.0,-0.7741935483870968,0.5,SELL,0.5,1.2741935483870968
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,478,45.62023898135082,0.954264051729265,4.970333091486077,0.9288702928870293,0.29497907949790797,0.9916317991631799,-0.9330543933054394,0.4958158995815899,SELL,0.4958158995815899,1.4288702928870292
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,FULL,UP,482,45.56502290840991,0.9611227673784629,4.946714841287153,0.950207468879668,0.3132780082987552,0.9979253112033195,0.4813278008298755,-0.9128630705394191,BUY,0.4813278008298755,1.3941908713692945
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,MIXED_LOCATION,FULL,UP,147,56.482150746211,1.214487392033794,4.751315012046853,0.9727891156462585,0.30612244897959184,1.0,0.4761904761904762,-0.870748299319728,BUY,0.4761904761904762,1.3469387755102042
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,UP,273,66.46697883053672,1.1789746001264254,5.311524655011869,0.9597069597069597,0.2857142857142857,0.978021978021978,0.47619047619047616,-0.8864468864468864,BUY,0.47619047619047616,1.3626373626373627
NORMAL_SEQUENCE,NONE,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,147,39.23304096696894,0.7544961877504748,4.913575788111987,0.9115646258503401,0.35374149659863946,0.9795918367346939,-0.8979591836734694,0.46938775510204084,SELL,0.46938775510204084,1.3673469387755102
NORMAL_SEQUENCE,NONE,BO_CLUSTER,MIXED_LOCATION,FULL,UP,151,40.69519028349361,0.7792890550807363,5.074779329410271,0.9470198675496688,0.31788079470198677,0.9801324503311258,0.4635761589403974,-0.9205298013245033,BUY,0.4635761589403974,1.3841059602649008
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,UP,815,56.23697628958946,1.1676178903766568,4.945100195300002,0.9582822085889571,0.32515337423312884,0.996319018404908,0.4306748466257668,-0.8809815950920246,BUY,0.4306748466257668,1.3116564417177914
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,MIXED_LOCATION,FULL,DOWN,175,56.42665202234196,1.1730772252146215,4.542620278110464,0.9085714285714286,0.3657142857142857,1.0,-0.9142857142857144,0.42857142857142855,SELL,0.42857142857142855,1.342857142857143
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,890,59.91851642325714,1.265942359841924,5.015625352177891,0.9438202247191011,0.3808988764044944,0.998876404494382,-0.8651685393258426,0.3797752808988764,SELL,0.3797752808988764,1.244943820224719
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,327,67.59899410566491,1.2459270548127463,5.249220627536138,0.9480122324159022,0.37003058103975534,0.9908256880733946,-0.8593272171253822,0.37614678899082565,SELL,0.37614678899082565,1.235474006116208
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,FULL,UP,146,58.15923510456796,0.9819759032761787,5.503297466677619,0.9794520547945206,0.3356164383561644,1.0,0.3493150684931507,-0.8493150684931507,BUY,0.3493150684931507,1.1986301369863015
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,MIXED,DOWN,682,43.18274173456617,0.9070631966433728,4.680917721277292,0.7712609970674487,0.4090909090909091,0.9032258064516129,-0.875366568914956,0.3343108504398827,SELL,0.3343108504398827,1.2096774193548387
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,DOWN_LOCATION,FULL,DOWN,225,53.492227539022075,0.9491482544213055,5.408391884765569,0.7822222222222223,0.44,0.9022222222222223,-0.8755555555555556,0.3022222222222222,SELL,0.3022222222222222,1.1777777777777778
COMPRESSION_BUILDUP,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,MIXED,UP,141,42.92509680913828,0.8252204208440546,4.45776530936246,0.46808510638297873,0.7021276595744681,0.574468085106383,0.28368794326241137,-0.801418439716312,BUY,0.28368794326241137,1.0851063829787233
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,DOWN_LOCATION,MIXED,UP,184,56.726885803187415,0.9817952106725663,5.465207062119572,0.8695652173913043,0.3858695652173913,0.907608695652174,0.27717391304347827,-0.7989130434782609,BUY,0.27717391304347827,1.0760869565217392
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,FULL,UP,250,51.49439569831586,0.9125786169895596,5.073089977660599,0.852,0.424,0.924,0.276,-0.8240000000000001,BUY,0.276,1.1
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,DOWN_LOCATION,MIXED,UP,170,41.018831537947506,0.8751727407096214,4.626305686515878,0.8058823529411765,0.4470588235294118,0.888235294117647,0.2705882352941177,-0.8176470588235294,BUY,0.2705882352941177,1.0882352941176472
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,MIXED,UP,329,51.08358179508598,0.900964472542183,5.071629304183272,0.44376899696048633,0.7264437689969605,0.5167173252279635,0.25531914893617025,-0.7933130699088146,BUY,0.25531914893617025,1.0486322188449848
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,UP_LOCATION,MIXED,DOWN,288,39.03202689327882,0.8381431569310469,4.458446173316739,0.7430555555555556,0.4548611111111111,0.8819444444444444,-0.7847222222222222,0.25000000000000006,SELL,0.25000000000000006,1.0347222222222223
NORMAL_SEQUENCE,NONE,MULTI_BO,MIXED_LOCATION,MIXED,UP,154,35.346939822600625,0.7058948290825764,4.728970119289428,0.4090909090909091,0.7337662337662337,0.5714285714285714,0.24025974025974023,-0.7532467532467532,BUY,0.24025974025974023,0.9935064935064934
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,MIXED,DOWN,1095,42.3208619308935,0.9029196215006638,4.825420766511942,0.42100456621004567,0.7561643835616438,0.5360730593607306,-0.7680365296803653,0.2365296803652968,SELL,0.2365296803652968,1.004566210045662
NORMAL_SEQUENCE,NONE,BO_CLUSTER,UP_LOCATION,FULL,UP,220,36.718771704715,0.7322008518457406,4.897685898519797,0.8136363636363636,0.45,0.8818181818181818,0.23181818181818176,-0.8136363636363637,BUY,0.23181818181818176,1.0454545454545454
UP_STREAK_EXTENDED,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,FULL,UP,145,42.163956787619,0.8185400760631196,4.697773925514275,0.8344827586206897,0.43448275862068964,0.9379310344827586,0.22758620689655168,-0.7517241379310344,BUY,0.22758620689655168,0.9793103448275862
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,MIXED_LOCATION,MIXED,UP,379,40.20528809574442,0.8775761168945185,4.624307788203342,0.40897097625329815,0.7572559366754618,0.58311345646438,0.2269129287598945,-0.7097625329815304,BUY,0.2269129287598945,0.9366754617414248
COMPRESSION_BUILDUP,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,MIXED,DOWN,125,44.58405829190191,0.8834717381845889,4.53834094018036,0.448,0.768,0.616,-0.776,0.22399999999999998,SELL,0.22399999999999998,1.0
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,DOWN_LOCATION,MIXED,UP,465,44.49527874204412,0.9179944741021855,4.906609337884687,0.7806451612903226,0.4645161290322581,0.9032258064516129,0.22150537634408607,-0.8365591397849463,BUY,0.22150537634408607,1.0580645161290323
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,DOWN_LOCATION,MIXED,UP,589,51.28969498025563,1.0242111563560452,4.843505771489766,0.801358234295416,0.4770797962648557,0.9100169779286927,0.2139219015280136,-0.7843803056027165,BUY,0.2139219015280136,0.9983022071307301
NORMAL_SEQUENCE,NONE,BO_CLUSTER,MIXED_LOCATION,MIXED,UP,360,36.89083037602083,0.7326686296869112,4.900103647784893,0.48055555555555557,0.7194444444444444,0.575,0.21111111111111108,-0.7666666666666666,BUY,0.21111111111111108,0.9777777777777776
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,UP_LOCATION,MIXED,DOWN,825,53.453470787156355,1.0769487448939066,4.660467933587026,0.7951515151515152,0.47878787878787876,0.9309090909090909,-0.8157575757575758,0.20969696969696977,SELL,0.20969696969696977,1.0254545454545456
NORMAL_SEQUENCE,NONE,BO_CLUSTER,DOWN_LOCATION,FULL,DOWN,169,36.92131765348426,0.745011395033715,4.991226862528467,0.7396449704142012,0.47337278106508873,0.893491124260355,-0.7159763313609467,0.2071005917159764,SELL,0.2071005917159764,0.9230769230769231
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,UP_LOCATION,FULL,UP,301,41.15864252769403,0.8801787105620558,4.477821636699606,0.8106312292358804,0.46179401993355484,0.9102990033222591,0.20598006644518269,-0.8073089700996678,BUY,0.20598006644518269,1.0132890365448506
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,MIXED,UP,1063,42.891113116283,0.9087262220855918,4.79216328896017,0.44214487300094074,0.7572906867356538,0.5202257761053621,0.20225776105362187,-0.7892756349952963,BUY,0.20225776105362187,0.9915333960489181
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,FULL,UP,631,42.12363829136802,0.874544584641577,4.676773031979399,0.7939778129952456,0.45166402535657685,0.9239302694136292,0.19175911251980982,-0.7876386687797148,BUY,0.19175911251980982,0.9793977812995246
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,UP_LOCATION,FULL,UP,669,63.53039622764574,1.1171381463574097,5.213090152700121,0.8550074738415545,0.45440956651718983,0.9372197309417041,0.18535127055306427,-0.7922272047832586,BUY,0.18535127055306427,0.9775784753363228
NORMAL_SEQUENCE,NONE,MULTI_BO,MIXED_LOCATION,MIXED,DOWN,152,33.71797935832569,0.6893764173808542,4.7043308934206065,0.40131578947368424,0.8026315789473685,0.5131578947368421,-0.6513157894736842,0.18421052631578944,SELL,0.18421052631578944,0.8355263157894737
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,UP_LOCATION,MIXED,DOWN,151,50.17873962109102,1.0089247105253376,4.33561025656712,0.8013245033112583,0.5298013245033113,0.9271523178807947,-0.8145695364238411,0.17880794701986757,SELL,0.17880794701986757,0.9933774834437087
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,MIXED,DOWN,254,49.37417440886454,0.8626310065820033,4.865014594720624,0.7322834645669292,0.49606299212598426,0.8385826771653543,-0.7834645669291338,0.17322834645669288,SELL,0.17322834645669288,0.9566929133858266
BREAKOUT_AFTER_COMPRESSION,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,MIXED,UP,139,54.78530211040118,1.086060616830675,4.551187950589104,0.4676258992805755,0.7338129496402878,0.6618705035971223,0.17266187050359716,-0.7553956834532374,BUY,0.17266187050359716,0.9280575539568345
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,DOWN_LOCATION,MIXED,UP,277,63.50556031037485,1.0433203381786593,5.507274358112531,0.8411552346570397,0.4368231046931408,0.8989169675090253,0.16967509025270755,-0.7870036101083032,BUY,0.16967509025270755,0.9566787003610108
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,UP_LOCATION,FULL,UP,308,53.762929463616615,1.1111830763424149,4.527373567317684,0.7402597402597403,0.5,0.9318181818181818,0.16558441558441556,-0.737012987012987,BUY,0.16558441558441556,0.9025974025974026
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,DOWN_LOCATION,FULL,DOWN,250,40.956409158764835,0.9082853091730021,4.712448775943214,0.772,0.536,0.944,-0.776,0.15999999999999998,SELL,0.15999999999999998,0.9359999999999999
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,UP_LOCATION,MIXED,DOWN,334,59.23050640768603,1.0476058551818275,4.768576382126948,0.7694610778443114,0.47005988023952094,0.8532934131736527,-0.8053892215568862,0.1586826347305389,SELL,0.1586826347305389,0.9640718562874251
NORMAL_SEQUENCE,NONE,BO_CLUSTER,MIXED_LOCATION,MIXED,DOWN,377,37.92081176652322,0.7556096949819904,4.975124580529036,0.46684350132625996,0.7055702917771883,0.5543766578249337,-0.7108753315649867,0.1511936339522546,SELL,0.1511936339522546,0.8620689655172413
NORMAL_SEQUENCE,NONE,BO_CLUSTER,DOWN_LOCATION,MIXED,UP,153,37.63720347414635,0.7515908840849167,5.032059184271206,0.7516339869281046,0.5032679738562091,0.9281045751633987,0.15032679738562088,-0.7712418300653594,BUY,0.15032679738562088,0.9215686274509802
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,DOWN_LOCATION,FULL,DOWN,538,67.00397326148436,1.2156520288874504,5.257495127914472,0.7695167286245354,0.5390334572490706,0.9219330855018587,-0.7602230483271375,0.14312267657992567,SELL,0.14312267657992567,0.9033457249070631
NORMAL_SEQUENCE,NONE,BO_CLUSTER,UP_LOCATION,MIXED,DOWN,198,35.903192159916145,0.7049541120296788,4.815405915951734,0.7828282828282829,0.4898989898989899,0.9040404040404041,-0.8484848484848484,0.14141414141414138,SELL,0.14141414141414138,0.9898989898989898
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,MIXED_LOCATION,MIXED,DOWN,524,40.601394431273945,0.8819321814446295,4.544088633455643,0.4351145038167939,0.7729007633587787,0.5362595419847328,-0.765267175572519,0.13931297709923662,SELL,0.13931297709923662,0.9045801526717556
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,MIXED_LOCATION,MIXED,DOWN,223,51.61343734295339,1.0532000332540712,4.314948768227949,0.4260089686098655,0.7937219730941704,0.6188340807174888,-0.6412556053811659,0.13452914798206272,SELL,0.13452914798206272,0.7757847533632286
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,DOWN_LOCATION,FULL,DOWN,553,44.16742149194216,0.9057836973821084,4.910561056055917,0.7359855334538878,0.5262206148282098,0.8987341772151899,-0.7703435804701627,0.13200723327305608,SELL,0.13200723327305608,0.9023508137432188
EXPANSION_CHAIN,FALSE_BREAK,MULTI_BO,MIXED_LOCATION,MIXED,UP,130,47.734605918073385,0.8589321048738635,4.771700901768422,0.47692307692307695,0.7,0.5076923076923077,0.12307692307692303,-0.6923076923076923,BUY,0.12307692307692303,0.8153846153846154
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,MIXED,DOWN,408,50.464777513972145,0.8962826838225172,5.007835225034915,0.3946078431372549,0.8014705882352942,0.48284313725490197,-0.7450980392156863,0.1225490196078432,SELL,0.1225490196078432,0.8676470588235294
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,MIXED_LOCATION,MIXED,UP,219,50.19338241533116,1.0353344621989036,4.470534931539983,0.4337899543378995,0.7397260273972602,0.5570776255707762,0.1050228310502283,-0.6118721461187214,BUY,0.1050228310502283,0.7168949771689497
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,STRONG_UP_LOCATION,MIXED,UP,517,51.09404667745489,0.9831234288143448,4.787648802000562,0.34622823984526113,0.9129593810444874,0.5203094777562862,-0.5957446808510638,0.0947775628626692,SELL,0.0947775628626692,0.690522243713733
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,UP_LOCATION,FULL,UP,1932,55.61174050091152,1.1350526362525968,4.881295483622915,0.7820910973084886,0.5243271221532091,0.9032091097308489,0.0905797101449276,-0.7127329192546583,BUY,0.0905797101449276,0.8033126293995859
BREAKOUT_AFTER_COMPRESSION,BREAKOUT,BO_CLUSTER,UP_LOCATION,FULL,UP,252,58.725781372958146,1.1556356001560342,4.568386412580553,0.7261904761904762,0.5753968253968254,0.9444444444444444,0.08730158730158732,-0.7182539682539683,BUY,0.08730158730158732,0.8055555555555556
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,DOWN_LOCATION,FULL,DOWN,286,55.357467910776705,1.165842483606388,4.631997576362099,0.7132867132867133,0.5769230769230769,0.8881118881118881,-0.5944055944055944,0.05244755244755239,SELL,0.05244755244755239,0.6468531468531468
