hour,bars,avg_energy,avg_range_atr,avg_vol_ratio,expansion_pct,breakout_pct,false_break_pct,sweep_pct,continuation_h3,continuation_h6,continuation_h12,pullback_0p25_h6,pullback_0p50_h6,reach_0p50_h12,reach_1atr_h12,rr_tp,rr_sl,rr_edge,behavior_summary,operational_guidance
10,4368,67.21547974944878,1.207871185864579,1.222920214805116,0.7355769230769231,0.5064102564102564,0.4352106227106227,0.4342948717948718,0.5043498168498168,0.5070970695970696,0.49313186813186816,0.8836996336996337,0.7831959706959707,0.8511904761904762,0.7181776556776557,0.3315018315018315,0.6311813186813187,-0.29967948717948717,janela de expansão/movimento; volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
9,4368,66.4208077464789,1.265502577848012,1.3034686085959004,0.45283882783882784,0.4876373626373626,0.45467032967032966,0.4523809523809524,0.4983974358974359,0.5077838827838828,0.5052655677655677,0.8853021978021978,0.7941849816849816,0.8706501831501832,0.7406135531135531,0.33287545787545786,0.6247710622710623,-0.2918956043956044,janela de expansão/movimento; volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
21,4366,63.45890944640783,1.1865843385563022,1.4370788507747927,0.2047640861200183,0.5027485112230875,0.44113605130554284,0.43930371049015116,0.5016032982134677,0.4848831882730188,0.49496106275767293,0.8825011452130096,0.7693540998625744,0.8403573064590014,0.6942281264315162,0.3250114521300962,0.6294090700870362,-0.30439761795694,janela de expansão/movimento; volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
2,4368,57.51685143123582,1.106147972643664,1.1992786603759888,0.09340659340659341,0.5006868131868132,0.4384157509157509,0.4358974358974359,0.5064102564102564,0.5093864468864469,0.5013736263736264,0.8727106227106227,0.7616758241758241,0.829441391941392,0.6806318681318682,0.3342490842490842,0.6373626373626373,-0.3031135531135531,volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
11,4368,57.43257720690729,1.0137090242852551,1.000942731056413,0.8612637362637363,0.48695054945054944,0.43956043956043955,0.4393315018315018,0.4899267399267399,0.49198717948717946,0.4958791208791209,0.8507326007326007,0.7168040293040293,0.7831959706959707,0.5856227106227107,0.3315018315018315,0.6536172161172161,-0.32211538461538464,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
22,4368,56.03713534545229,1.0999845376048476,1.127912970958406,0.28777472527472525,0.4858058608058608,0.4429945054945055,0.44024725274725274,0.5061813186813187,0.5041208791208791,0.5089285714285714,0.8550824175824175,0.722985347985348,0.8028846153846154,0.6339285714285714,0.3383699633699634,0.6371336996336996,-0.2987637362637362,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
8,4368,55.23513986766152,1.047914091690657,1.1036961666477139,0.19963369963369965,0.4896978021978022,0.4423076923076923,0.4397893772893773,0.4942765567765568,0.4967948717948718,0.5064102564102564,0.8766025641025641,0.7671703296703297,0.8534798534798534,0.717032967032967,0.3342490842490842,0.6414835164835165,-0.3072344322344323,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
20,4356,54.01584917103356,1.00661851645764,1.160083540621462,0.17699724517906337,0.47910927456382,0.4299816345270891,0.42676767676767674,0.4837006427915519,0.4903581267217631,0.5048209366391184,0.8686868686868687,0.7640036730945822,0.8452708907254362,0.7137281910009182,0.32966023875114786,0.6361340679522498,-0.30647382920110194,volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
3,4368,53.53998251769458,1.0473754691239896,1.0775418344923609,0.1304945054945055,0.4768772893772894,0.4397893772893773,0.43795787545787546,0.4933608058608059,0.4933608058608059,0.5061813186813187,0.8690476190476191,0.7516025641025641,0.8255494505494505,0.6689560439560439,0.3367673992673993,0.6426282051282052,-0.3058608058608059,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
4,4368,52.65569749498223,1.0459622451057322,1.0121601113662497,0.1742216117216117,0.5114468864468864,0.4226190476190476,0.42055860805860806,0.4855769230769231,0.5020604395604396,0.49725274725274726,0.8587454212454212,0.7307692307692307,0.8044871794871795,0.6336996336996337,0.3475274725274725,0.6389652014652014,-0.2914377289377289,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
18,419,51.35121837322781,1.0857178981919804,0.9837398541963537,0.2171837708830549,0.5178997613365155,0.36754176610978523,0.36515513126491644,0.4105011933174224,0.45346062052505964,0.4701670644391408,0.8878281622911695,0.7684964200477327,0.7852028639618138,0.5513126491646778,0.28878281622911695,0.6778042959427207,-0.3890214797136038,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
19,4356,50.326447498833836,1.0943359096651026,0.9917844994971494,0.16460055096418733,0.4765840220385675,0.41758494031221305,0.4150596877869605,0.4786501377410468,0.4935720844811754,0.4983930211202938,0.8684573002754821,0.7309458218549127,0.79178145087236,0.6216712580348944,0.3142791551882461,0.6584022038567493,-0.3441230486685032,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
5,4368,47.88693913751747,0.9487491366364553,0.958259570142713,0.2190934065934066,0.461996336996337,0.4532967032967033,0.45146520146520147,0.483974358974359,0.48878205128205127,0.5006868131868132,0.8617216117216118,0.7218406593406593,0.7891483516483516,0.5977564102564102,0.3173076923076923,0.6723901098901099,-0.35508241758241765,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
7,4368,47.87507630526112,0.9517726597177065,0.9755890666389317,0.15773809523809523,0.475503663003663,0.44207875457875456,0.43887362637362637,0.4757326007326007,0.497481684981685,0.4892399267399267,0.8603479853479854,0.7396978021978022,0.8223443223443223,0.6453754578754579,0.3257783882783883,0.6602564102564102,-0.33447802197802196,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
6,4368,47.542823156622475,0.9478486880250889,0.9537605510825395,0.1771978021978022,0.48695054945054944,0.4308608058608059,0.42925824175824173,0.46794871794871795,0.47619047619047616,0.4741300366300366,0.8582875457875457,0.7369505494505495,0.7960164835164835,0.6007326007326007,0.3241758241758242,0.6616300366300366,-0.3374542124542124,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
16,4212,47.31833593553473,0.9227832894709626,0.9648057254188166,0.10185185185185185,0.49453941120607786,0.4235517568850902,0.41999050332383664,0.4935897435897436,0.48717948717948717,0.5023741690408358,0.8390313390313391,0.7015669515669516,0.7647198480531814,0.5669515669515669,0.33262108262108264,0.6455365622032289,-0.3129154795821462,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
1,4368,46.24916025492398,0.9471094473700946,0.9929408701364696,0.044413919413919416,0.4835164835164835,0.4519230769230769,0.44963369963369965,0.49954212454212454,0.5036630036630036,0.4983974358974359,0.8534798534798534,0.719551282051282,0.825091575091575,0.6673534798534798,0.34134615384615385,0.6394230769230769,-0.298076923076923,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
12,4368,44.844244185243575,0.8465468066848895,0.8398526414250055,0.6586538461538461,0.4674908424908425,0.45215201465201466,0.451007326007326,0.4906135531135531,0.5006868131868132,0.5011446886446886,0.8321886446886447,0.6735347985347986,0.7570970695970696,0.5416666666666666,0.32074175824175827,0.6641483516483516,-0.34340659340659335,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
23,4368,43.247094599462336,0.8821865190763402,0.8626433328825938,0.23008241758241757,0.4732142857142857,0.43704212454212454,0.4358974358974359,0.49885531135531136,0.5018315018315018,0.5070970695970696,0.8365384615384616,0.6838369963369964,0.7673992673992674,0.5611263736263736,0.33814102564102566,0.6465201465201466,-0.3083791208791209,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
14,4341,42.569180581659595,0.8522911761998685,0.9163567761570832,0.12462566228979498,0.46533056899331954,0.4457498272287491,0.44252476387929046,0.48997926744989634,0.50149735084082,0.48329877908316055,0.8313752591568763,0.6839437917530523,0.7645703754895186,0.5489518544114259,0.32296705828150196,0.654227136604469,-0.331260078322967,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
15,4269,41.87632051990748,0.8595337696462539,0.9028853347213197,0.10705083157648161,0.4706020145233076,0.4324197704380417,0.4298430545795268,0.4612321386741626,0.4799718903724526,0.48910751932536894,0.8428203326305926,0.6971187631763879,0.7500585617240572,0.5443897868353245,0.3120168657765285,0.6669009135628953,-0.3548840477863668,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
13,4368,40.854416281417315,0.8087392579877769,0.8568090428569063,0.2918956043956044,0.4677197802197802,0.453525641025641,0.451007326007326,0.49107142857142855,0.4913003663003663,0.48717948717948717,0.8287545787545788,0.6710164835164835,0.7502289377289377,0.5416666666666666,0.3257783882783883,0.657051282051282,-0.33127289377289376,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
0,4368,38.92221587325155,0.8190961874265644,0.8282203634015393,0.09958791208791208,0.47962454212454214,0.4356684981684982,0.43292124542124544,0.49221611721611724,0.4951923076923077,0.49198717948717946,0.8266941391941391,0.670558608058608,0.7619047619047619,0.5554029304029304,0.3298992673992674,0.6510989010989011,-0.3211996336996337,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
17,3792,32.852856889869194,0.8011528271297522,0.6227572443300159,0.06935654008438819,0.4564873417721519,0.4287974683544304,0.4240506329113924,0.475210970464135,0.4844409282700422,0.47837552742616035,0.8517932489451476,0.7183544303797469,0.8095991561181435,0.6600738396624473,0.3080168776371308,0.6455696202531646,-0.33755274261603374,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
