law_id,law_name,dimension,strongest_segment,strongest_status,strongest_valid,strongest_edge,strongest_oos_edge,weakest_segment,weakest_status,weakest_valid,weakest_edge,weakest_oos_edge,edge_spread
LAW_0001A,First Resistance Attempt Against Bearish MTF,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,STRONGER,482,0.7385892116182573,0.785234899328859,BREAKOUT_AGAINST_HTF_DOWN,WEAKER,460,0.28695652173913044,0.19117647058823528,0.45163268987912686
LAW_0001A,First Resistance Attempt Against Bearish MTF,ENERGY,MEDIUM,STABLE,323,0.5541795665634675,0.49504950495049505,LOW,STABLE,249,0.5020080321285141,0.5789473684210527,0.05217153443495337
LAW_0001A,First Resistance Attempt Against Bearish MTF,HOUR_BRT,20,STRONGER,43,0.7441860465116279,0.8461538461538461,19,WEAKER,74,0.1891891891891892,0.16666666666666666,0.5549968573224386
LAW_0001A,First Resistance Attempt Against Bearish MTF,HTF_LOCATION,MIXED_LOCATION,STRONGER,482,0.7385892116182573,0.785234899328859,STRONG_DOWN_LOCATION,WEAKER,187,0.0213903743315508,-0.2,0.7171988372867065
LAW_0001A,First Resistance Attempt Against Bearish MTF,LEVEL_PROXIMITY,OTHER_LOCATION,STABLE,225,0.5422222222222223,0.38333333333333336,NEAR_RESISTANCE,STABLE,723,0.5089903181189488,0.5330396475770925,0.03323190410327348
LAW_0001A,First Resistance Attempt Against Bearish MTF,SESSION_BRT,PRE_LONDON,STRONGER,70,0.6714285714285714,0.4166666666666667,LONDON,STABLE,111,0.4594594594594595,0.35294117647058826,0.2119691119691119
LAW_0001A,First Resistance Attempt Against Bearish MTF,WEEKDAY,TUESDAY,STRONGER,184,0.6141304347826086,0.5510204081632653,SUNDAY,WEAKER,46,0.32608695652173914,0.26666666666666666,0.2880434782608695
LAW_0001B,First Support Attempt Against Bullish MTF,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,STRONGER,393,0.6412213740458015,0.7407407407407407,BREAKOUT_MIXED_HTF,STRONGER,393,0.6412213740458015,0.7407407407407407,0.0
LAW_0001B,First Support Attempt Against Bullish MTF,ENERGY,EXTREME,STRONGER,94,0.5212765957446809,0.6071428571428571,LOW,STABLE,219,0.3561643835616438,0.5873015873015873,0.16511221218303707
LAW_0001B,First Support Attempt Against Bullish MTF,HOUR_BRT,1,STRONGER,52,0.5192307692307693,0.5384615384615384,19,WEAKER,54,-0.05555555555555555,-0.3125,0.5747863247863249
LAW_0001B,First Support Attempt Against Bullish MTF,HTF_LOCATION,MIXED_LOCATION,STRONGER,393,0.6412213740458015,0.7407407407407407,STRONG_UP_LOCATION,WEAKER,247,0.024291497975708502,0.14285714285714285,0.616929876070093
LAW_0001B,First Support Attempt Against Bullish MTF,LEVEL_PROXIMITY,OTHER_LOCATION,STABLE,226,0.4778761061946903,0.5,NEAR_SUPPORT,STABLE,727,0.4195323246217332,0.48756218905472637,0.05834378157295711
LAW_0001B,First Support Attempt Against Bullish MTF,SESSION_BRT,NY_AFTERNOON,STRONGER,141,0.5673758865248227,0.7777777777777778,PRE_LONDON,WEAKER,85,0.21176470588235294,0.16666666666666666,0.35561118064246977
LAW_0001B,First Support Attempt Against Bullish MTF,WEEKDAY,THURSDAY,STABLE,163,0.50920245398773,0.625,MONDAY,STABLE,195,0.4,0.46808510638297873,0.10920245398772999
LAW_0002A,Resistance Breakout After External Failure Memory,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,STRONGER,388,0.7036082474226805,0.7704918032786885,BREAKOUT_AGAINST_HTF_DOWN,WEAKER,338,0.3047337278106509,0.18867924528301888,0.3988745196120296
LAW_0002A,Resistance Breakout After External Failure Memory,ENERGY,MEDIUM,STABLE,247,0.5789473684210527,0.4875,LOW,STABLE,195,0.49230769230769234,0.625,0.08663967611336032
LAW_0002A,Resistance Breakout After External Failure Memory,HOUR_BRT,19,WEAKER,60,0.13333333333333333,0.0625,19,WEAKER,60,0.13333333333333333,0.0625,0.0
LAW_0002A,Resistance Breakout After External Failure Memory,HTF_LOCATION,MIXED_LOCATION,STRONGER,388,0.7036082474226805,0.7704918032786885,STRONG_DOWN_LOCATION,WEAKER,141,0.05673758865248227,-0.16279069767441862,0.6468706587701982
LAW_0002A,Resistance Breakout After External Failure Memory,LEVEL_PROXIMITY,NEAR_RESISTANCE,STABLE,559,0.5277280858676208,0.554945054945055,OTHER_LOCATION,STABLE,173,0.4797687861271676,0.2916666666666667,0.047959299740453154
LAW_0002A,Resistance Breakout After External Failure Memory,SESSION_BRT,PRE_LONDON,STRONGER,52,0.6730769230769231,0.5294117647058824,LONDON,STABLE,85,0.4823529411764706,0.3333333333333333,0.19072398190045253
LAW_0002A,Resistance Breakout After External Failure Memory,WEEKDAY,TUESDAY,STRONGER,147,0.673469387755102,0.6,FRIDAY,STABLE,98,0.4489795918367347,0.3939393939393939,0.22448979591836732
LAW_0002B,Support Breakout After External Failure Memory,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,STRONGER,321,0.6230529595015576,0.7142857142857143,BREAKOUT_MIXED_HTF,STRONGER,321,0.6230529595015576,0.7142857142857143,0.0
LAW_0002B,Support Breakout After External Failure Memory,ENERGY,EXTREME,STABLE,70,0.4714285714285714,0.625,HIGH,STABLE,220,0.42727272727272725,0.48148148148148145,0.04415584415584417
LAW_0002B,Support Breakout After External Failure Memory,HOUR_BRT,20,STABLE,45,0.4444444444444444,0.3076923076923077,19,WEAKER,44,-0.20454545454545456,-0.4,0.648989898989899
LAW_0002B,Support Breakout After External Failure Memory,HTF_LOCATION,MIXED_LOCATION,STRONGER,321,0.6230529595015576,0.7142857142857143,STRONG_UP_LOCATION,WEAKER,180,0.016666666666666666,0.21739130434782608,0.6063862928348909
LAW_0002B,Support Breakout After External Failure Memory,LEVEL_PROXIMITY,OTHER_LOCATION,STABLE,178,0.4438202247191011,0.5238095238095238,NEAR_SUPPORT,STABLE,566,0.4169611307420495,0.5,0.026859093977051607
LAW_0002B,Support Breakout After External Failure Memory,SESSION_BRT,NY_AFTERNOON,STRONGER,107,0.5794392523364486,0.8,LATE_BRT,WEAKER,119,0.2184873949579832,0.02857142857142857,0.36095185737846536
LAW_0002B,Support Breakout After External Failure Memory,WEEKDAY,THURSDAY,STABLE,116,0.5,0.6470588235294118,MONDAY,STABLE,157,0.3885350318471338,0.5238095238095238,0.11146496815286622
LAW_0003A,Second Resistance Attempt After One Failure,BREAKOUT_ALIGNMENT,NO_BREAKOUT,STABLE,562,0.1512455516014235,0.10614525139664804,NO_BREAKOUT,STABLE,562,0.1512455516014235,0.10614525139664804,0.0
LAW_0003A,Second Resistance Attempt After One Failure,ENERGY,HIGH,STRONGER,79,0.31645569620253167,0.42105263157894735,VERY_LOW,WEAKER,78,0.14102564102564102,0.0,0.17543005517689064
LAW_0003A,Second Resistance Attempt After One Failure,HTF_LOCATION,MIXED_LOCATION,STRONGER,223,0.48878923766816146,0.43478260869565216,STRONG_DOWN_LOCATION,WEAKER,98,-0.24489795918367346,-0.0967741935483871,0.7336871968518349
LAW_0003A,Second Resistance Attempt After One Failure,LEVEL_PROXIMITY,OTHER_LOCATION,STRONGER,151,0.32450331125827814,0.4,NEAR_SUPPORT,WEAKER,128,-0.1484375,-0.2619047619047619,0.47294081125827814
LAW_0003A,Second Resistance Attempt After One Failure,SESSION_BRT,LONDON,STRONGER,89,0.3258426966292135,0.23529411764705882,NY_AFTERNOON,WEAKER,126,0.023809523809523808,0.16216216216216217,0.30203317281968967
LAW_0003A,Second Resistance Attempt After One Failure,WEEKDAY,THURSDAY,STRONGER,122,0.28688524590163933,0.3142857142857143,MONDAY,WEAKER,120,0.041666666666666664,-0.06,0.24521857923497267
LAW_0003B,Second Support Attempt After One Failure,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,STRONGER,105,0.5523809523809524,0.7083333333333334,BREAKOUT_WITH_HTF_UP,WEAKER,111,-0.35135135135135137,-0.2777777777777778,0.9037323037323037
LAW_0003B,Second Support Attempt After One Failure,ENERGY,LOW,STRONGER,263,0.22433460076045628,0.19117647058823528,HIGH,STABLE,192,0.08333333333333333,0.15384615384615385,0.14100126742712293
LAW_0003B,Second Support Attempt After One Failure,HOUR_BRT,12,STRONGER,45,0.4222222222222222,0.42857142857142855,5,WEAKER,44,0.0,0.14285714285714285,0.4222222222222222
LAW_0003B,Second Support Attempt After One Failure,HTF_LOCATION,MIXED_LOCATION,STRONGER,300,0.4533333333333333,0.5,STRONG_UP_LOCATION,WEAKER,168,-0.25,-0.019230769230769232,0.7033333333333334
LAW_0003B,Second Support Attempt After One Failure,LEVEL_PROXIMITY,NEAR_SUPPORT,STRONGER,291,0.38831615120274915,0.38271604938271603,NEAR_RESISTANCE,WEAKER,446,0.01569506726457399,-0.015151515151515152,0.37262108393817517
LAW_0003B,Second Support Attempt After One Failure,SESSION_BRT,PRE_LONDON,STABLE,79,0.21518987341772153,0.28,LONDON,WEAKER,111,-0.07207207207207207,0.07142857142857142,0.2872619454897936
LAW_0003B,Second Support Attempt After One Failure,WEEKDAY,WEDNESDAY,STABLE,170,0.2,0.23636363636363636,FRIDAY,WEAKER,131,0.03816793893129771,-0.02631578947368421,0.1618320610687023
